Project,DefectId,FileCount,LineCount,RelevantTestCount,TriggeringTestCount,StatementCoverage,TimeToFix,Versions,Priority,Dependents,Reproducibility,ChangesType,ChangesMethodSignature,ChangesMethodCallArgs,AddsMethodCall,ChangesCondition,AddsVariable,AddsIfStmt,AddsLoop,AddsMethod,IssueReportLink,BugOrFeature,IsRegression,PatchFound:GenProgJava,PatchFound:KaliJava,PatchFound:Nopol,PatchQuality:GenProgJava,PatchQuality:KaliJava,PatchQuality:Nopol
Chart,12,1,1,201,1,32.1,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,NA,bug,0,0,0,0,NA,NA,NA
Chart,13,1,1,195,1,63.3,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,NA,bug,0,1,1,1,incorrect,incorrect,incorrect
Chart,14,2,12,519,4,73.5,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,NA,bug,0,0,0,0,NA,NA,NA
Chart,15,1,5,199,1,79.7,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,NA,bug,0,1,1,0,incorrect,incorrect,NA
Chart,16,1,3,25,8,73.7,6,NA,2,NA,NA,1,0,0,0,1,0,0,0,0,http://sourceforge.net/p/jfreechart/bugs/834/,bug,0,0,0,0,NA,NA,NA
Chart,17,1,2,60,1,75.6,7,NA,2,NA,NA,1,0,0,0,0,0,0,0,0,http://sourceforge.net/p/jfreechart/bugs/803/,bug,0,0,0,0,NA,NA,NA
Chart,18,2,13,327,4,87.1,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,NA,bug,0,0,0,0,NA,NA,NA
Chart,19,1,6,366,2,76.7,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,NA,bug,0,0,0,0,NA,NA,NA
Chart,20,1,1,296,1,86.4,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,NA,bug,0,0,0,0,NA,NA,NA
Chart,21,1,39,17,1,84.3,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,1,0,NA,bug,0,0,0,1,NA,NA,incorrect
Chart,22,1,127,51,6,80.6,NA,NA,NA,NA,NA,1,0,0,0,1,0,1,1,1,NA,bug,0,0,0,0,NA,NA,NA
Chart,23,1,19,5,1,43.8,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,NA,bug,0,0,0,0,NA,NA,NA
Chart,24,1,1,15,1,96,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,NA,bug,0,0,0,0,NA,NA,NA
Chart,25,1,14,9,4,69.4,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,0,0,NA,bug,0,1,1,1,incorrect,incorrect,incorrect
Chart,26,1,2,543,22,89.9,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,NA,bug,0,0,1,1,NA,incorrect,incorrect
Lang,1,1,11,173,1,98.1,368.4347222,1,3,0,NA,1,0,0,0,1,0,0,1,0,https://issues.apache.org/jira/browse/LANG-747,bug,0,0,0,0,NA,NA,NA
Lang,2,1,3,14,1,100,73.01805556,2,3,1,NA,0,0,0,0,1,0,0,0,0,https://issues.apache.org/jira/browse/LANG-879,bug,0,0,0,0,NA,NA,NA
Lang,3,1,4,172,1,98.1,767.0638889,2,2,0,NA,0,0,0,0,1,0,0,0,0,https://issues.apache.org/jira/browse/LANG-693,bug,0,0,0,0,NA,NA,NA
Lang,4,1,4,137,1,100,25.56805556,2,3,0,NA,1,0,0,0,0,0,0,0,0,https://issues.apache.org/jira/browse/LANG-882,bug,0,0,0,0,NA,NA,NA
Lang,5,1,43,13,1,100,0.1951388889,2,3,0,NA,0,0,0,0,1,0,0,0,0,https://issues.apache.org/jira/browse/LANG-865,bug,0,0,0,0,NA,NA,NA
Lang,6,1,1,142,1,93.3,0.3409722222,1,2,0,NA,0,0,1,0,0,0,0,0,0,https://issues.apache.org/jira/browse/LANG-857,bug,0,0,0,0,NA,NA,NA
Lang,7,1,6,166,1,97.6,59.66388889,2,3,0,NA,0,0,0,0,1,0,0,0,0,https://issues.apache.org/jira/browse/LANG-822,bug,0,0,0,0,NA,NA,NA
Lang,8,1,3,155,2,93.1,20.79861111,1,3,0,NA,1,0,0,0,0,1,0,0,0,https://issues.apache.org/jira/browse/LANG-818,bug,0,0,0,0,NA,NA,NA
Lang,9,1,3,166,2,93.3,0.0200231482,1,3,0,NA,0,0,0,0,1,0,0,0,0,https://issues.apache.org/jira/browse/LANG-832,bug,0,0,0,0,NA,NA,NA
Lang,10,1,9,164,2,92.4,0.010162037,1,3,0,NA,0,0,0,0,0,1,1,0,0,https://issues.apache.org/jira/browse/LANG-831,bug,0,0,0,0,NA,NA,NA
Lang,11,1,4,11,1,98.2,0.0209027778,4,2,0,NA,0,0,0,0,1,0,0,0,0,https://issues.apache.org/jira/browse/LANG-807,bug,0,0,0,0,NA,NA,NA
Lang,12,1,7,10,2,94.1,0.0138888889,5,5,0,NA,0,0,0,0,1,0,0,0,0,https://issues.apache.org/jira/browse/LANG-805,bug,0,0,0,0,NA,NA,NA
Lang,13,1,19,208,1,88.7,18.08541667,2,3,0,NA,1,0,0,0,0,0,0,0,0,https://issues.apache.org/jira/browse/LANG-788,bug,0,0,0,0,NA,NA,NA
Lang,14,1,3,834,1,97.6,2.917361111,1,3,0,NA,0,0,0,0,1,0,0,0,0,https://issues.apache.org/jira/browse/LANG-786,bug,0,0,0,0,NA,NA,NA
Lang,15,1,4,10,2,67.1,0.0165277778,2,3,1,NA,0,0,0,0,1,0,0,1,0,https://issues.apache.org/jira/browse/LANG-775,bug,0,0,0,0,NA,NA,NA
Lang,16,1,1,164,1,95.7,0.0010300926,3,3,0,NA,0,0,0,0,1,0,0,0,0,https://issues.apache.org/jira/browse/LANG-746,bug,0,0,0,0,NA,NA,NA
Lang,17,1,9,45,1,93.9,0.2256944444,2,3,0,NA,1,0,0,0,1,0,0,0,0,https://issues.apache.org/jira/browse/LANG-720,bug,0,0,0,0,NA,NA,NA
Lang,18,1,3,93,1,80.7,0.0009375,1,3,1,NA,1,0,0,0,1,0,0,0,0,https://issues.apache.org/jira/browse/LANG-719,bug,0,0,0,0,NA,NA,NA
Lang,19,1,9,32,2,100,4.467361111,1,2,0,NA,0,0,0,0,1,0,0,1,0,https://issues.apache.org/jira/browse/LANG-710,bug,0,0,0,0,NA,NA,NA
Lang,20,1,2,585,2,97.3,26.64027778,1,3,0,NA,1,0,0,0,0,0,0,0,0,https://issues.apache.org/jira/browse/LANG-703,bug,0,0,0,0,NA,NA,NA
Lang,21,1,1,116,1,95.8,0.5930555556,2,3,0,NA,1,0,0,0,0,0,0,0,0,https://issues.apache.org/jira/browse/LANG-677,bug,0,0,0,0,NA,NA,NA
Lang,22,1,7,25,2,98.9,41.24236111,1,2,1,NA,0,0,0,0,1,0,0,0,0,https://issues.apache.org/jira/browse/LANG-662,bug,0,0,0,0,NA,NA,NA
Lang,23,1,31,8,1,82.2,173.5645833,1,3,0,NA,1,0,0,0,0,0,0,0,1,https://issues.apache.org/jira/browse/LANG-636,bug,0,0,0,0,NA,NA,NA
Lang,24,1,1,110,1,97.9,25.06041667,1,3,0,NA,1,0,0,0,0,0,0,0,0,https://issues.apache.org/jira/browse/LANG-664,bug,0,0,0,0,NA,NA,NA
Lang,25,1,27,32,1,100,0.0972222222,1,3,1,NA,1,0,0,0,0,0,0,0,0,https://issues.apache.org/jira/browse/LANG-658,bug,0,0,0,0,NA,NA,NA
Lang,26,1,1,93,1,73.2,18.66527778,2,3,0,NA,1,0,0,0,0,0,0,0,0,https://issues.apache.org/jira/browse/LANG-645,bug,0,0,0,0,NA,NA,NA
Lang,27,1,4,110,1,97.9,0.7375,2,3,0,NA,0,0,0,0,1,0,0,0,0,https://issues.apache.org/jira/browse/LANG-638,bug,0,0,0,0,NA,NA,NA
Lang,28,1,6,20,1,100,156.5736111,2,2,0,NA,0,0,0,0,1,0,0,0,0,https://issues.apache.org/jira/browse/LANG-617,bug,0,0,0,0,NA,NA,NA
Lang,29,1,1,636,1,94.3,249.8069444,2,3,0,NA,0,1,0,0,0,0,0,0,0,https://issues.apache.org/jira/browse/LANG-624,bug,0,0,0,0,NA,NA,NA
Lang,30,1,43,582,10,98,NA,NA,NA,NA,NA,1,1,0,0,1,0,0,0,0,https://issues.apache.org/jira/browse/LANG-607,bug,0,0,0,0,NA,NA,NA
Lang,31,1,8,571,2,98,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,0,0,https://issues.apache.org/jira/browse/LANG-607,bug,0,0,0,0,NA,NA,NA
Lang,32,1,22,45,1,92.3,0.0472222222,1,3,0,NA,1,0,0,0,1,0,0,0,1,https://issues.apache.org/jira/browse/LANG-586,bug,0,0,0,0,NA,NA,NA
Lang,33,1,1,255,1,95.5,0.0029050926,2,3,0,NA,1,0,0,0,0,0,0,0,0,https://issues.apache.org/jira/browse/LANG-587,bug,0,0,0,0,NA,NA,NA
Lang,34,1,2,344,27,90.1,0.0472222222,1,3,0,NA,1,0,0,0,0,0,0,0,0,https://issues.apache.org/jira/browse/LANG-586,bug,0,0,0,0,NA,NA,NA
Lang,35,1,2,795,1,96.6,29.33402778,1,3,1,NA,1,0,0,0,0,0,0,0,0,https://issues.apache.org/jira/browse/LANG-571,bug,0,0,0,0,NA,NA,NA
Lang,36,1,9,110,2,98.1,139.4069444,2,2,0,NA,0,0,0,0,1,0,0,0,0,https://issues.apache.org/jira/browse/LANG-521,bug,0,0,0,0,NA,NA,NA
Lang,37,1,8,657,1,100,1.490972222,1,3,0,NA,1,0,0,0,1,0,0,0,0,https://issues.apache.org/jira/browse/LANG-567,bug,0,0,0,0,NA,NA,NA
Lang,38,1,1,59,1,72.7,61.55347222,2,3,1,NA,0,0,0,1,0,0,0,0,0,https://issues.apache.org/jira/browse/LANG-538,bug,0,0,0,0,NA,NA,NA
Lang,39,1,3,523,1,97.8,34.79861111,2,3,0,NA,0,0,0,0,1,0,0,0,0,https://issues.apache.org/jira/browse/LANG-552,bug,0,0,0,1,NA,NA,incorrect
Lang,40,1,8,516,1,99.1,544.5722222,2,3,0,NA,1,0,0,0,0,0,0,1,0,https://issues.apache.org/jira/browse/LANG-432,bug,0,0,0,0,NA,NA,NA
Lang,41,1,21,241,2,95.3,22.48402778,2,2,0,NA,1,0,0,0,1,0,0,1,0,https://issues.apache.org/jira/browse/LANG-535,bug,0,0,0,0,NA,NA,NA
Lang,42,1,7,54,1,97.1,40.1375,2,2,0,NA,1,0,0,0,1,0,0,0,0,https://issues.apache.org/jira/browse/LANG-480,bug,0,0,0,0,NA,NA,NA
Lang,43,1,1,7,1,77.2,0.5013888889,2,3,1,NA,0,0,0,1,0,0,0,0,0,https://issues.apache.org/jira/browse/LANG-477,bug,0,0,0,0,NA,NA,NA
Lang,44,1,3,20,1,97.9,57.85555556,1,3,1,NA,0,0,0,0,1,0,0,0,0,https://issues.apache.org/jira/browse/LANG-457,bug,0,0,0,1,NA,NA,correct
Lang,45,1,3,82,1,100,45.50833333,2,2,0,NA,0,0,0,0,1,0,0,0,0,https://issues.apache.org/jira/browse/LANG-419,bug,0,0,0,0,NA,NA,NA
Lang,46,1,10,87,1,83.3,0.0175578704,2,5,2,NA,0,1,1,0,1,0,0,0,0,https://issues.apache.org/jira/browse/LANG-421,bug,0,0,0,1,NA,NA,incorrect
Lang,47,1,6,206,2,99.4,0.05625,2,3,1,NA,0,0,0,0,1,0,0,0,0,https://issues.apache.org/jira/browse/LANG-412,bug,0,0,0,0,NA,NA,NA
Lang,48,1,4,281,1,82.4,9.717361111,2,2,3,NA,0,0,0,0,1,0,0,0,0,https://issues.apache.org/jira/browse/LANG-393,bug,0,0,0,0,NA,NA,NA
Lang,49,1,3,25,1,99.2,0.0067708333,2,3,0,NA,0,0,0,0,1,0,0,0,0,https://issues.apache.org/jira/browse/LANG-380,bug,0,0,0,0,NA,NA,NA
Lang,50,1,10,35,2,72,0.5875,1,3,0,NA,0,0,0,1,1,0,1,0,0,https://issues.apache.org/jira/browse/LANG-368,bug,0,0,0,0,NA,NA,NA
Lang,51,1,1,190,1,100,0.4229166667,1,3,0,NA,1,0,0,0,0,0,0,0,0,https://issues.apache.org/jira/browse/LANG-365,bug,0,0,0,1,NA,NA,incorrect
Lang,52,1,4,74,1,82.3,2.955555556,2,2,1,NA,0,0,0,0,1,0,0,0,0,https://issues.apache.org/jira/browse/LANG-363,bug,0,0,0,0,NA,NA,NA
Lang,53,1,2,31,1,97.1,33.17916667,3,3,1,NA,0,0,0,0,1,0,0,0,0,https://issues.apache.org/jira/browse/LANG-346,bug,0,0,0,1,NA,NA,incorrect
Lang,54,1,3,12,1,100,15.02638889,2,3,0,NA,0,0,0,0,1,0,0,0,0,https://issues.apache.org/jira/browse/LANG-328,bug,0,0,0,0,NA,NA,NA
Lang,55,1,2,6,1,98.2,0.3729166667,4,3,0,NA,0,0,0,0,1,0,0,0,0,https://issues.apache.org/jira/browse/LANG-315,bug,0,0,0,1,NA,NA,correct
Lang,56,1,6,33,1,63.4,4.091666667,2,3,0,NA,1,0,0,0,0,0,0,0,1,https://issues.apache.org/jira/browse/LANG-303,feature,0,0,0,0,NA,NA,NA
Lang,57,1,1,11,11,7.9,0.0020023148,2,3,0,NA,1,0,0,0,0,0,0,0,0,https://issues.apache.org/jira/browse/LANG-304,bug,0,0,0,0,NA,NA,NA
Lang,58,1,2,256,1,98.6,0.16875,2,3,1,NA,0,0,0,0,1,0,0,0,0,https://issues.apache.org/jira/browse/LANG-300,bug,0,0,0,1,NA,NA,correct
Lang,59,1,1,186,1,99.5,1.442361111,2,3,0,NA,0,0,1,0,0,0,0,0,0,https://issues.apache.org/jira/browse/LANG-299,bug,0,0,0,0,NA,NA,NA
Lang,60,1,2,185,1,99.5,0.03125,1,3,1,NA,0,0,0,0,0,0,0,1,0,https://issues.apache.org/jira/browse/LANG-295,bug,0,0,0,0,NA,NA,NA
Lang,61,1,1,184,2,99.5,0.4638888889,2,3,0,NA,1,0,0,0,0,0,0,0,0,https://issues.apache.org/jira/browse/LANG-294,bug,0,0,0,0,NA,NA,NA
Lang,62,1,8,47,1,99.2,0.8256944444,1,2,0,NA,1,0,0,0,1,0,0,0,0,https://issues.apache.org/jira/browse/LANG-292,bug,0,0,0,0,NA,NA,NA
Lang,63,1,20,16,1,93.8,1.313194444,3,3,0,NA,1,0,0,1,0,1,1,0,1,https://issues.apache.org/jira/browse/LANG-281,bug,0,0,0,0,NA,NA,NA
Lang,64,1,21,75,1,100,88.04930556,2,3,1,NA,0,0,0,0,1,0,0,0,1,https://issues.apache.org/jira/browse/LANG-259,bug,0,0,0,0,NA,NA,NA
Lang,65,1,30,30,1,96.8,267.9118056,2,3,1,NA,1,0,0,0,1,0,0,0,0,https://issues.apache.org/jira/browse/LANG-59,bug,0,0,0,0,NA,NA,NA
Math,1,2,6,313,2,95.8,68.09861111,2,2,0,NA,0,0,0,0,1,0,0,0,0,https://issues.apache.org/jira/browse/MATH-996,bug,0,0,0,0,NA,NA,NA
Math,2,1,1,16,1,97,19.89930556,1,3,0,NA,1,0,0,0,0,0,0,0,0,https://issues.apache.org/jira/browse/MATH-1021,bug,0,1,1,0,incorrect,incorrect,NA
Math,3,1,3,2197,1,85.7,0.0777777778,2,3,0,NA,0,0,0,0,1,0,0,0,0,https://issues.apache.org/jira/browse/MATH-1005,bug,0,0,0,0,NA,NA,NA
Math,4,2,6,52,2,100,0.7569444444,4,3,0,NA,0,0,0,0,1,0,0,0,0,https://issues.apache.org/jira/browse/MATH-988,bug,0,0,0,0,NA,NA,NA
Math,5,1,1,257,1,95.6,0.0013888889,2,2,0,NA,1,0,0,0,0,0,0,0,0,https://issues.apache.org/jira/browse/MATH-934,bug,0,1,0,0,correct,NA,NA
Math,6,7,17,230,28,93.1,4.726388889,2,3,0,NA,0,0,1,1,1,1,0,0,0,https://issues.apache.org/jira/browse/MATH-949,bug,0,0,0,0,NA,NA,NA
Math,7,1,11,169,1,96.9,0.0407638889,2,4,0,NA,0,0,0,1,0,0,0,1,0,https://issues.apache.org/jira/browse/MATH-950,bug,0,0,0,0,NA,NA,NA
Math,8,1,2,22,1,86.8,0.8729166667,1,3,0,NA,0,1,0,1,0,0,0,0,0,https://issues.apache.org/jira/browse/MATH-942,bug,0,1,1,0,incorrect,incorrect,NA
Math,9,1,2,35,1,82.6,0.0208333333,2,3,0,NA,0,0,1,1,0,0,0,0,0,https://issues.apache.org/jira/browse/MATH-938,bug,0,0,0,0,NA,NA,NA
Math,10,1,1,369,1,100,0.0117708333,2,2,0,NA,0,0,0,1,0,0,0,0,0,https://issues.apache.org/jira/browse/MATH-935,bug,0,0,0,0,NA,NA,NA
Math,11,1,1,10,1,82.5,0.024224537,2,4,0,NA,0,0,1,0,0,0,0,0,0,https://issues.apache.org/jira/browse/MATH-929,bug,0,0,0,0,NA,NA,NA
Math,12,1,4,707,3,39.6,9.267361111,2,4,0,NA,0,1,0,0,0,0,0,0,0,https://issues.apache.org/jira/browse/MATH-927,bug,0,0,0,0,NA,NA,NA
Math,13,1,9,89,1,75.6,17.69583333,1,4,0,NA,0,0,0,0,1,0,0,0,0,https://issues.apache.org/jira/browse/MATH-924,feature,0,0,0,0,NA,NA,NA
Math,14,2,13,92,1,89.8,17.69583333,1,4,0,NA,0,0,0,1,1,0,0,1,0,https://issues.apache.org/jira/browse/MATH-924,feature,0,0,0,0,NA,NA,NA
Math,15,1,2,3042,1,97.8,6.091666667,2,3,1,NA,1,0,0,0,1,0,0,0,0,https://issues.apache.org/jira/browse/MATH-904,bug,0,0,0,0,NA,NA,NA
Math,16,1,21,3040,2,97.8,5.688194444,2,3,1,NA,0,0,0,1,1,0,0,0,0,https://issues.apache.org/jira/browse/MATH-905,bug,0,0,0,0,NA,NA,NA
Math,17,1,4,88,1,90.8,194.4284722,2,3,0,NA,0,0,0,0,1,0,0,0,0,https://issues.apache.org/jira/browse/MATH-778,bug,0,0,0,0,NA,NA,NA
Math,18,1,6,26,1,89.9,9.719444444,1,3,0,NA,1,0,0,0,1,0,0,0,0,https://issues.apache.org/jira/browse/MATH-867,bug,0,0,0,0,NA,NA,NA
Math,19,1,13,25,1,89.7,2.5375,2,3,0,NA,0,0,0,0,1,0,0,1,0,https://issues.apache.org/jira/browse/MATH-865,bug,0,0,0,0,NA,NA,NA
Math,20,1,2,24,1,89.7,2.60625,2,3,0,NA,1,0,0,0,0,0,0,0,0,https://issues.apache.org/jira/browse/MATH-864,bug,0,0,0,0,NA,NA,NA
Math,21,1,14,24,2,96.2,127.1881944,2,3,0,NA,1,0,0,0,1,0,0,0,0,https://issues.apache.org/jira/browse/MATH-789,bug,0,0,0,0,NA,NA,NA
Math,22,2,2,98,2,97.6,899.1625,2,3,0,NA,1,0,0,0,0,0,0,0,0,https://issues.apache.org/jira/browse/MATH-859,bug,0,0,0,0,NA,NA,NA
Math,23,1,9,17,1,94.7,2.604166667,2,3,0,NA,0,0,1,0,0,0,0,0,0,https://issues.apache.org/jira/browse/MATH-855,bug,0,0,0,0,NA,NA,NA
Math,24,1,2,16,1,90.4,2.604166667,2,3,0,NA,0,0,1,0,0,0,0,0,0,https://issues.apache.org/jira/browse/MATH-855,bug,0,0,0,0,NA,NA,NA
Math,25,1,3,7,1,98.9,3.9875,2,3,0,NA,0,0,0,0,1,0,0,0,0,https://issues.apache.org/jira/browse/MATH-844,bug,0,0,0,0,NA,NA,NA
Math,26,1,2,213,1,97.6,3.974305556,2,3,0,NA,0,0,0,0,1,0,0,0,0,https://issues.apache.org/jira/browse/MATH-836,bug,0,0,0,0,NA,NA,NA
Math,27,1,1,213,1,97.6,1.077083333,2,3,0,NA,1,0,0,0,0,0,0,0,0,https://issues.apache.org/jira/browse/MATH-835,bug,0,0,0,0,NA,NA,NA
Math,28,1,4,26,1,100,16.22569444,2,3,1,NA,0,0,0,0,1,0,0,0,0,https://issues.apache.org/jira/browse/MATH-828,bug,0,1,1,0,incorrect,incorrect,NA
Math,29,1,16,78,3,94.4,620.8798611,2,3,0,NA,0,0,0,0,1,0,0,1,0,https://issues.apache.org/jira/browse/MATH-803,bug,0,0,0,0,NA,NA,NA
Math,30,1,1,3,1,91.2,0.0416666667,2,2,0,NA,1,0,0,0,0,0,0,0,0,https://issues.apache.org/jira/browse/MATH-790,bug,0,0,0,0,NA,NA,NA
Math,31,1,61,317,2,85.7,169.8016319,3,3,1,NA,1,0,0,0,1,1,1,1,0,https://issues.apache.org/jira/browse/MATH-718,bug,0,0,0,0,NA,NA,NA
Math,32,1,1,23,1,72.8,23.03125,2,3,0,NA,0,0,0,0,1,0,0,0,0,https://issues.apache.org/jira/browse/MATH-780,bug,0,0,1,1,NA,incorrect,incorrect
Math,33,1,1,28,1,96.3,11.47013889,2,3,1,NA,0,0,0,0,1,0,0,0,0,https://issues.apache.org/jira/browse/MATH-781,bug,0,0,0,1,NA,NA,incorrect
Math,34,1,1,24,1,82.6,1.128472222,2,3,0,NA,1,0,0,0,0,0,0,0,0,https://issues.apache.org/jira/browse/MATH-779,bug,0,0,0,0,NA,NA,NA
Math,35,1,2,12,4,100,0.0416666667,2,3,0,NA,1,0,0,1,0,0,0,0,0,https://issues.apache.org/jira/browse/MATH-776,bug,0,0,0,0,NA,NA,NA
Math,36,1,12,94,2,94.6,1.888888889,2,3,0,NA,1,0,0,0,1,0,0,0,0,https://issues.apache.org/jira/browse/MATH-744,bug,0,0,0,0,NA,NA,NA
Math,37,1,14,264,4,94.4,0.0104166667,2,3,0,NA,0,0,0,0,1,0,0,0,0,https://issues.apache.org/jira/browse/MATH-722,bug,0,0,0,0,NA,NA,NA
Math,38,1,4,19,1,87.7,53.88194444,2,3,0,NA,1,0,0,0,0,0,0,0,0,https://issues.apache.org/jira/browse/MATH-728,bug,0,0,0,0,NA,NA,NA
Math,39,1,9,69,1,100,0.0137731482,5,3,0,NA,0,0,0,0,1,0,0,0,0,https://issues.apache.org/jira/browse/MATH-727,bug,0,0,0,0,NA,NA,NA
Math,40,1,8,90,1,99.2,0.5756944444,2,3,0,NA,1,0,0,0,0,0,0,0,0,https://issues.apache.org/jira/browse/MATH-716,bug,0,1,1,1,incorrect,incorrect,incorrect
Math,41,1,1,236,1,91.1,21.30347222,2,3,0,NA,1,0,0,0,0,0,0,0,0,https://issues.apache.org/jira/browse/MATH-704,bug,0,0,0,0,NA,NA,NA
Math,42,1,3,27,1,96.3,0.125,2,3,0,NA,0,0,0,0,1,0,0,0,0,https://issues.apache.org/jira/browse/MATH-713,bug,0,0,0,1,NA,NA,incorrect
Math,43,1,3,78,6,79,0.2083333333,2,2,0,NA,0,0,0,0,1,0,0,0,0,https://issues.apache.org/jira/browse/MATH-691,bug,0,0,0,0,NA,NA,NA
Math,44,1,7,164,1,96.5,0.6784722222,2,3,0,NA,0,0,0,0,0,1,0,1,0,https://issues.apache.org/jira/browse/MATH-695,bug,0,0,0,0,NA,NA,NA
Math,45,1,5,461,1,81.2,7.597222222,2,2,0,NA,1,0,0,0,1,0,0,0,0,https://issues.apache.org/jira/browse/MATH-679,bug,0,0,0,0,NA,NA,NA
Math,46,1,2,199,2,93.9,29.94166667,1,2,0,NA,1,0,0,0,0,0,0,0,0,https://issues.apache.org/jira/browse/MATH-657,bug,0,0,0,0,NA,NA,NA
Math,47,1,5,199,2,93.8,29.94166667,1,2,0,NA,1,0,0,0,1,0,0,0,0,https://issues.apache.org/jira/browse/MATH-657,bug,0,0,0,0,NA,NA,NA
Math,48,1,3,36,1,95.9,46.51736111,1,3,1,NA,0,0,0,0,1,0,0,0,0,https://issues.apache.org/jira/browse/MATH-631,bug,0,0,0,0,NA,NA,NA
Math,49,1,4,35,1,84.9,20.19097222,2,3,0,NA,1,0,0,0,0,0,0,0,0,https://issues.apache.org/jira/browse/MATH-645,bug,0,1,1,1,incorrect,incorrect,incorrect
Math,50,1,4,36,1,96,46.51736111,1,3,1,NA,0,0,0,0,1,0,0,0,0,https://issues.apache.org/jira/browse/MATH-631,bug,0,1,1,1,correct,correct,correct
Math,51,1,9,36,1,97.2,46.51736111,1,3,1,NA,0,0,0,0,1,0,0,0,0,https://issues.apache.org/jira/browse/MATH-631,bug,0,0,0,0,NA,NA,NA
Math,52,1,4,28,1,100,4.036805556,2,3,0,NA,0,0,0,0,1,0,0,0,0,https://issues.apache.org/jira/browse/MATH-639,bug,0,0,0,0,NA,NA,NA
Math,53,1,3,179,1,96.1,0.40625,5,3,0,NA,0,0,0,0,1,0,0,0,0,https://issues.apache.org/jira/browse/MATH-618,bug,0,1,0,0,correct,NA,NA
Math,54,1,7,64,1,90.2,0.0798611111,2,2,0,NA,1,0,0,0,1,0,0,0,0,https://issues.apache.org/jira/browse/MATH-567,bug,0,0,0,0,NA,NA,NA
Math,55,1,18,88,1,93,0.0134027778,2,3,0,NA,1,0,1,0,1,0,0,0,0,https://issues.apache.org/jira/browse/MATH-554,bug,0,0,0,0,NA,NA,NA
Math,56,1,7,5,1,86.7,0.4830439815,2,2,0,NA,0,0,0,0,0,1,0,1,0,https://issues.apache.org/jira/browse/MATH-552,bug,0,0,0,0,NA,NA,NA
Math,57,1,1,4,1,96.7,4.336805556,2,2,0,NA,1,0,0,0,0,0,0,0,0,https://issues.apache.org/jira/browse/MATH-546,bug,0,0,0,1,NA,NA,incorrect
Math,58,1,1,8,1,65.2,3.801388889,2,3,0,NA,0,0,1,0,0,0,0,0,0,https://issues.apache.org/jira/browse/MATH-519,bug,0,0,0,1,NA,NA,incorrect
