project, defectid,file-count,line-count,relevant-test-count,triggering-test-count,statement-level-coverage,time-to-fix,versions,priority,dependents,defect-type (bug vs feature-request),defect-type (defect vs regression),Human patch changes data structures or types?,Human patch changes method signature?,Human patch changes arguments to a function?,Human patch added 1 or more function calls?,Human patch changes conditional?,Human patch adds new variables?,Human patch adds 1 or more if-statements?,Human patch adds 1 or more loops?,Human patch adds a whole new function?,Linked,issue-report-link,GenProgJava,KaliJava,Nopol,AllJava,GenProgJava patch-quality,KaliJava patch-quality,Nopol patch-quality
Closure,3,1,8,4,3,94.5,TBD,TBD,TBD,TBD,TBD,defect,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,yes,TBD,TBD,TBD,TBD,TBD,,,
Closure,4,1,2,149,3,91.7,TBD,TBD,TBD,TBD,TBD,defect,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,yes,TBD,TBD,TBD,TBD,TBD,,,
Closure,5,1,9,4,1,98.8,TBD,TBD,TBD,TBD,TBD,defect,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,yes,TBD,TBD,TBD,TBD,TBD,,,
Closure,6,1,8,172,3,93.8,TBD,TBD,TBD,TBD,TBD,defect,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,yes,TBD,TBD,TBD,TBD,TBD,,,
Closure,7,1,5,170,2,72.8,TBD,TBD,TBD,TBD,TBD,defect,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,yes,TBD,TBD,TBD,TBD,TBD,,,
Closure,8,1,4,5,1,100,TBD,TBD,TBD,TBD,TBD,defect,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,yes,TBD,TBD,TBD,TBD,TBD,,,
Closure,9,1,2,3,1,97.8,TBD,TBD,TBD,TBD,TBD,defect,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,yes,TBD,TBD,TBD,TBD,TBD,,,
Closure,10,1,1,165,1,93.7,TBD,TBD,TBD,TBD,TBD,defect,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,yes,TBD,TBD,TBD,TBD,TBD,,,
Closure,11,1,2,172,2,97.7,TBD,TBD,TBD,TBD,TBD,defect,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,yes,TBD,TBD,TBD,TBD,TBD,,,
Closure,12,1,6,5,1,97.6,TBD,TBD,TBD,TBD,TBD,defect,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,yes,TBD,TBD,TBD,TBD,TBD,,,
Closure,13,1,1,18,1,98.8,TBD,TBD,TBD,TBD,TBD,defect,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,yes,TBD,TBD,TBD,TBD,TBD,,,
Closure,14,1,1,41,3,98.4,TBD,TBD,TBD,TBD,TBD,defect,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,yes,TBD,TBD,TBD,TBD,TBD,,,
Closure,15,1,3,4,1,95.4,TBD,TBD,TBD,TBD,TBD,defect,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,yes,TBD,TBD,TBD,TBD,TBD,,,
Closure,16,1,9,6,2,98.4,TBD,TBD,TBD,TBD,TBD,defect,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,yes,TBD,TBD,TBD,TBD,TBD,,,
Closure,17,1,5,170,1,85.6,TBD,TBD,TBD,TBD,TBD,defect,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,yes,TBD,TBD,TBD,TBD,TBD,,,
Closure,18,1,1,172,1,73.2,TBD,TBD,TBD,TBD,TBD,defect,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,yes,TBD,TBD,TBD,TBD,TBD,,,
Closure,19,1,2,170,1,71.4,TBD,TBD,TBD,TBD,TBD,defect,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,yes,TBD,TBD,TBD,TBD,TBD,,,
Closure,20,1,2,7,1,98.8,TBD,TBD,TBD,TBD,TBD,defect,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,yes,TBD,TBD,TBD,TBD,TBD,,,
Closure,21,1,19,170,1,97.4,TBD,TBD,TBD,TBD,TBD,defect,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,yes,TBD,TBD,TBD,TBD,TBD,,,
Closure,22,2,64,170,1,93.9,TBD,TBD,TBD,TBD,TBD,defect,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,yes,TBD,TBD,TBD,TBD,TBD,,,
Closure,23,1,7,7,1,89.3,TBD,TBD,TBD,TBD,TBD,defect,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,yes,TBD,TBD,TBD,TBD,TBD,,,
Closure,24,1,4,6,1,98.8,TBD,TBD,TBD,TBD,TBD,defect,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,yes,TBD,TBD,TBD,TBD,TBD,,,
Closure,25,1,4,25,1,97.9,TBD,TBD,TBD,TBD,TBD,defect,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,yes,TBD,TBD,TBD,TBD,TBD,,,
Closure,26,1,5,171,7,87.4,TBD,TBD,TBD,TBD,TBD,defect,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,yes,TBD,TBD,TBD,TBD,TBD,,,
Closure,27,1,6,161,3,66.5,TBD,TBD,TBD,TBD,TBD,defect,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,yes,TBD,TBD,TBD,TBD,TBD,,,
Closure,28,1,4,12,2,92.3,TBD,TBD,TBD,TBD,TBD,defect,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,yes,TBD,TBD,TBD,TBD,TBD,,,
Closure,29,1,10,4,5,98.7,TBD,TBD,TBD,TBD,TBD,defect,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,yes,TBD,TBD,TBD,TBD,TBD,,,
Closure,30,2,10,5,3,96.8,TBD,TBD,TBD,TBD,TBD,defect,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,yes,TBD,TBD,TBD,TBD,TBD,,,
Closure,31,1,1,171,1,72.3,TBD,TBD,TBD,TBD,TBD,defect,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,yes,TBD,TBD,TBD,TBD,TBD,,,
Closure,32,1,45,68,4,93.8,TBD,TBD,TBD,TBD,TBD,defect,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,yes,TBD,TBD,TBD,TBD,TBD,,,
Closure,33,1,3,186,1,98,TBD,TBD,TBD,TBD,TBD,defect,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,yes,TBD,TBD,TBD,TBD,TBD,,,
Closure,34,2,5,135,1,93.2,TBD,TBD,TBD,TBD,TBD,defect,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,yes,TBD,TBD,TBD,TBD,TBD,,,
Closure,35,1,15,24,1,98.1,TBD,TBD,TBD,TBD,TBD,defect,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,yes,TBD,TBD,TBD,TBD,TBD,,,
Closure,36,1,3,6,1,98.3,TBD,TBD,TBD,TBD,TBD,defect,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,yes,TBD,TBD,TBD,TBD,TBD,,,
Closure,37,2,5,176,1,92.6,TBD,TBD,TBD,TBD,TBD,defect,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,yes,TBD,TBD,TBD,TBD,TBD,,,
Closure,38,1,1,136,1,95.4,TBD,TBD,TBD,TBD,TBD,defect,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,yes,TBD,TBD,TBD,TBD,TBD,,,
Closure,39,1,3,185,2,97.9,TBD,TBD,TBD,TBD,TBD,defect,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,yes,TBD,TBD,TBD,TBD,TBD,,,
Closure,40,1,3,3,2,87.4,TBD,TBD,TBD,TBD,TBD,defect,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,yes,TBD,TBD,TBD,TBD,TBD,,,
Closure,41,1,9,169,3,94.6,TBD,TBD,TBD,TBD,TBD,defect,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,yes,TBD,TBD,TBD,TBD,TBD,,,
Closure,42,1,7,160,1,93,TBD,TBD,TBD,TBD,TBD,defect,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,yes,TBD,TBD,TBD,TBD,TBD,,,
Closure,43,1,17,168,2,85.9,TBD,TBD,TBD,TBD,TBD,defect,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,yes,TBD,TBD,TBD,TBD,TBD,,,
Closure,44,1,2,133,1,95.3,TBD,TBD,TBD,TBD,TBD,defect,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,yes,TBD,TBD,TBD,TBD,TBD,,,
Closure,45,1,6,5,1,98.6,TBD,TBD,TBD,TBD,TBD,defect,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,yes,TBD,TBD,TBD,TBD,TBD,,,
Closure,46,1,16,13,3,97.9,TBD,TBD,TBD,TBD,TBD,defect,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,yes,TBD,TBD,TBD,TBD,TBD,,,
Closure,47,2,8,169,16,78,TBD,TBD,TBD,TBD,TBD,defect,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,yes,TBD,TBD,TBD,TBD,TBD,,,
Closure,48,1,7,168,1,86.7,TBD,TBD,TBD,TBD,TBD,defect,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,yes,TBD,TBD,TBD,TBD,TBD,,,
Closure,49,1,37,38,66,99.5,TBD,TBD,TBD,TBD,TBD,defect,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,yes,TBD,TBD,TBD,TBD,TBD,,,
Closure,50,1,6,3,2,94.5,TBD,TBD,TBD,TBD,TBD,defect,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,yes,TBD,TBD,TBD,TBD,TBD,,,
Closure,51,1,1,133,1,94.3,TBD,TBD,TBD,TBD,TBD,defect,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,yes,TBD,TBD,TBD,TBD,TBD,,,
Closure,52,1,1,132,1,93.5,TBD,TBD,TBD,TBD,TBD,defect,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,yes,TBD,TBD,TBD,TBD,TBD,,,
Closure,53,1,4,3,1,98.7,TBD,TBD,TBD,TBD,TBD,defect,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,yes,TBD,TBD,TBD,TBD,TBD,,,
Closure,54,2,13,182,3,86.8,TBD,TBD,TBD,TBD,TBD,defect,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,yes,TBD,TBD,TBD,TBD,TBD,,,
Closure,55,1,2,2,1,97.9,TBD,TBD,TBD,TBD,TBD,defect,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,yes,TBD,TBD,TBD,TBD,TBD,,,
Closure,56,1,4,167,3,48.6,TBD,TBD,TBD,TBD,TBD,defect,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,yes,TBD,TBD,TBD,TBD,TBD,,,
Closure,57,1,1,165,1,99.2,TBD,TBD,TBD,TBD,TBD,defect,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,yes,TBD,TBD,TBD,TBD,TBD,,,
Closure,58,1,4,5,1,98,TBD,TBD,TBD,TBD,TBD,defect,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,yes,TBD,TBD,TBD,TBD,TBD,,,
Closure,59,1,2,166,1,45.9,TBD,TBD,TBD,TBD,TBD,defect,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,yes,TBD,TBD,TBD,TBD,TBD,,,
Closure,60,1,5,159,2,93.6,TBD,TBD,TBD,TBD,TBD,defect,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,yes,TBD,TBD,TBD,TBD,TBD,,,
Closure,61,1,6,159,3,93.7,TBD,TBD,TBD,TBD,TBD,defect,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,yes,TBD,TBD,TBD,TBD,TBD,,,
Closure,62,1,1,167,2,100,TBD,TBD,TBD,TBD,TBD,defect,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,yes,TBD,TBD,TBD,TBD,TBD,,,
Closure,63,1,1,167,2,100,TBD,TBD,TBD,TBD,TBD,defect,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,yes,TBD,TBD,TBD,TBD,TBD,,,
Closure,64,1,4,164,1,45,TBD,TBD,TBD,TBD,TBD,defect,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,yes,TBD,TBD,TBD,TBD,TBD,,,
Closure,65,1,1,130,1,93.5,TBD,TBD,TBD,TBD,TBD,defect,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,yes,TBD,TBD,TBD,TBD,TBD,,,
Closure,66,1,2,163,2,96.5,TBD,TBD,TBD,TBD,TBD,defect,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,yes,TBD,TBD,TBD,TBD,TBD,,,
Closure,67,1,1,5,1,95.9,TBD,TBD,TBD,TBD,TBD,defect,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,yes,TBD,TBD,TBD,TBD,TBD,,,
Closure,68,1,3,62,1,94,TBD,TBD,TBD,TBD,TBD,defect,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,yes,TBD,TBD,TBD,TBD,TBD,,,
Closure,69,1,7,163,3,96.5,TBD,TBD,TBD,TBD,TBD,defect,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,yes,TBD,TBD,TBD,TBD,TBD,,,
Closure,70,1,1,162,5,88.6,TBD,TBD,TBD,TBD,TBD,defect,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,yes,TBD,TBD,TBD,TBD,TBD,,,
Closure,71,1,1,161,2,96.6,TBD,TBD,TBD,TBD,TBD,defect,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,yes,TBD,TBD,TBD,TBD,TBD,,,
Closure,72,2,3,6,1,97.1,TBD,TBD,TBD,TBD,TBD,defect,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,yes,TBD,TBD,TBD,TBD,TBD,,,
Closure,73,1,1,125,1,93.4,TBD,TBD,TBD,TBD,TBD,defect,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,yes,TBD,TBD,TBD,TBD,TBD,,,
Closure,74,1,15,4,3,91.7,TBD,TBD,TBD,TBD,TBD,defect,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,yes,TBD,TBD,TBD,TBD,TBD,,,
Closure,75,1,4,150,1,93.8,TBD,TBD,TBD,TBD,TBD,defect,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,yes,TBD,TBD,TBD,TBD,TBD,,,
Closure,76,1,97,3,4,96.8,TBD,TBD,TBD,TBD,TBD,defect,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,yes,TBD,TBD,TBD,TBD,TBD,,,
Closure,77,1,1,122,1,92.2,TBD,TBD,TBD,TBD,TBD,defect,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,yes,TBD,TBD,TBD,TBD,TBD,,,
Closure,78,1,2,4,1,90.9,TBD,TBD,TBD,TBD,TBD,defect,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,yes,TBD,TBD,TBD,TBD,TBD,,,
Closure,79,2,5,154,5,95.8,TBD,TBD,TBD,TBD,TBD,defect,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,yes,TBD,TBD,TBD,TBD,TBD,,,
Closure,80,1,2,147,2,94.3,TBD,TBD,TBD,TBD,TBD,defect,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,yes,TBD,TBD,TBD,TBD,TBD,,,
Closure,81,1,7,145,1,80.7,TBD,TBD,TBD,TBD,TBD,defect,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,yes,TBD,TBD,TBD,TBD,TBD,,,
Closure,82,1,3,164,2,96.2,TBD,TBD,TBD,TBD,TBD,defect,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,yes,TBD,TBD,TBD,TBD,TBD,,,
Closure,83,1,4,1,1,77.4,TBD,TBD,TBD,TBD,TBD,defect,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,yes,TBD,TBD,TBD,TBD,TBD,,,
Closure,84,1,27,143,1,79.7,TBD,TBD,TBD,TBD,TBD,defect,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,yes,TBD,TBD,TBD,TBD,TBD,,,
Closure,85,1,21,4,2,90.4,TBD,TBD,TBD,TBD,TBD,defect,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,yes,TBD,TBD,TBD,TBD,TBD,,,
Closure,86,1,1,143,7,92.5,TBD,TBD,TBD,TBD,TBD,defect,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,yes,TBD,TBD,TBD,TBD,TBD,,,
Closure,87,1,13,4,1,97.8,TBD,TBD,TBD,TBD,TBD,defect,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,yes,TBD,TBD,TBD,TBD,TBD,,,
Closure,88,1,6,2,7,97.5,TBD,TBD,TBD,TBD,TBD,defect,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,yes,TBD,TBD,TBD,TBD,TBD,,,
Closure,89,2,4,11,8,96.4,TBD,TBD,TBD,TBD,TBD,defect,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,yes,TBD,TBD,TBD,TBD,TBD,,,
Closure,90,2,4,161,2,92.4,TBD,TBD,TBD,TBD,TBD,defect,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,yes,TBD,TBD,TBD,TBD,TBD,,,
Closure,91,1,9,2,1,100,TBD,TBD,TBD,TBD,TBD,defect,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,yes,TBD,TBD,TBD,TBD,TBD,,,
Closure,92,1,1,6,1,98.3,TBD,TBD,TBD,TBD,TBD,defect,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,yes,TBD,TBD,TBD,TBD,TBD,,,
Closure,93,1,1,6,1,98.3,TBD,TBD,TBD,TBD,TBD,defect,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,yes,TBD,TBD,TBD,TBD,TBD,,,
Closure,94,1,19,141,3,92.9,TBD,TBD,TBD,TBD,TBD,defect,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,yes,TBD,TBD,TBD,TBD,TBD,,,
Closure,95,1,7,23,2,87.1,TBD,TBD,TBD,TBD,TBD,defect,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,yes,TBD,TBD,TBD,TBD,TBD,,,
Closure,96,1,4,149,1,96.4,TBD,TBD,TBD,TBD,TBD,defect,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,yes,TBD,TBD,TBD,TBD,TBD,,,
Closure,97,1,2,3,1,86,TBD,TBD,TBD,TBD,TBD,defect,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,yes,TBD,TBD,TBD,TBD,TBD,,,
Closure,98,1,19,5,1,97.4,TBD,TBD,TBD,TBD,TBD,defect,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,yes,TBD,TBD,TBD,TBD,TBD,,,
Closure,99,1,6,2,3,97.7,TBD,TBD,TBD,TBD,TBD,defect,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,yes,TBD,TBD,TBD,TBD,TBD,,,
Closure,100,1,8,2,9,97.6,TBD,TBD,TBD,TBD,TBD,defect,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,yes,TBD,TBD,TBD,TBD,TBD,,,
Closure,101,1,3,1,1,66.1,TBD,TBD,TBD,TBD,TBD,defect,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,yes,TBD,TBD,TBD,TBD,TBD,,,
Closure,102,1,1,16,1,96.6,TBD,TBD,TBD,TBD,TBD,defect,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,yes,TBD,TBD,TBD,TBD,TBD,,,
Closure,103,2,8,28,3,95.5,TBD,TBD,TBD,TBD,TBD,defect,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,yes,TBD,TBD,TBD,TBD,TBD,,,
Closure,104,1,1,140,1,90.8,TBD,TBD,TBD,TBD,TBD,defect,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,yes,TBD,TBD,TBD,TBD,TBD,,,
Closure,105,1,7,4,1,65,TBD,TBD,TBD,TBD,TBD,defect,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,yes,TBD,TBD,TBD,TBD,TBD,,,
Closure,106,2,6,39,4,77.2,TBD,TBD,TBD,TBD,TBD,defect,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,yes,TBD,TBD,TBD,TBD,TBD,,,
Closure,107,1,1,1,1,72.9,TBD,TBD,TBD,TBD,TBD,defect,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,yes,TBD,TBD,TBD,TBD,TBD,,,
Closure,108,1,4,6,1,98.8,TBD,TBD,TBD,TBD,TBD,defect,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,yes,TBD,TBD,TBD,TBD,TBD,,,
Closure,109,1,5,81,2,94.3,TBD,TBD,TBD,TBD,TBD,defect,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,yes,TBD,TBD,TBD,TBD,TBD,,,
Closure,110,2,25,202,2,88.9,TBD,TBD,TBD,TBD,TBD,defect,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,yes,TBD,TBD,TBD,TBD,TBD,,,
Closure,111,1,2,7,1,97.3,TBD,TBD,TBD,TBD,TBD,defect,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,yes,TBD,TBD,TBD,TBD,TBD,,,
