PID,BID,File,INS,DEL,MOD
Math,33,SimplexTableau.java,0,0,1
Math,34,ListPopulation.java,0,0,1
Math,35,ElitisticListPopulation.java,0,0,2
Math,36,BigFraction.java,12,0,0
Math,37,Complex.java,12,0,2
Math,38,BOBYQAOptimizer.java,0,0,4
Math,39,EmbeddedRungeKuttaIntegrator.java,9,0,0
Math,40,BracketingNthOrderBrentSolver.java,6,0,2
Math,41,Variance.java,0,0,1
Math,42,SimplexTableau.java,2,0,1
Math,43,SummaryStatistics.java,0,0,3
Math,44,AbstractIntegrator.java,6,1,0
Math,45,OpenMapRealMatrix.java,5,0,0
Math,46,Complex.java,0,0,2
Math,47,Complex.java,2,0,3
Math,48,BaseSecantSolver.java,3,0,0
Math,49,OpenMapRealVector.java,0,0,4
Math,50,BaseSecantSolver.java,0,4,0
Math,51,BaseSecantSolver.java,9,0,0
Math,52,Rotation.java,1,0,3
Math,53,Complex.java,3,0,0
Math,54,Dfp.java,6,0,1
Math,55,Vector3D.java,17,0,1
Math,56,MultidimensionalCounter.java,0,6,1
Math,57,KMeansPlusPlusClusterer.java,0,0,1
Math,58,GaussianFitter.java,0,0,1
Math,59,FastMath.java,0,0,1
Math,60,NormalDistributionImpl.java,0,7,3
Math,61,PoissonDistributionImpl.java,0,0,2
Math,62,MultiStartUnivariateRealOptimizer.java,0,1,3
Math,63,MathUtils.java,0,0,1
Math,64,LevenbergMarquardtOptimizer.java,19,5,3
Math,65,AbstractLeastSquaresOptimizer.java,0,5,2
Math,66,BrentOptimizer.java,0,11,11
Math,67,MultiStartUnivariateRealOptimizer.java,0,0,2
Math,68,LevenbergMarquardtOptimizer.java,10,0,2
Math,69,PearsonsCorrelation.java,0,0,1
Math,70,BisectionSolver.java,0,0,1
Math,71,EmbeddedRungeKuttaIntegrator.java,4,0,0
Math,71,RungeKuttaIntegrator.java,3,0,0
Math,72,BrentSolver.java,0,0,2
Math,73,BrentSolver.java,4,0,0
Math,74,EmbeddedRungeKuttaIntegrator.java,3,0,4
Math,75,Frequency.java,0,0,1
Math,76,SingularValueDecompositionImpl.java,6,0,8
Math,77,ArrayRealVector.java,0,0,1
Math,77,OpenMapRealVector.java,0,9,0
Math,78,EventState.java,11,0,0
Math,79,MathUtils.java,0,0,2
Math,80,EigenDecompositionImpl.java,0,0,1
Math,81,EigenDecompositionImpl.java,1,0,3
Math,82,SimplexSolver.java,0,0,1
Math,83,SimplexTableau.java,0,0,3
Math,84,MultiDirectional.java,9,0,0
Math,85,UnivariateRealSolverUtils.java,0,0,1
Math,86,CholeskyDecompositionImpl.java,3,3,0
Math,87,SimplexTableau.java,0,2,2
Math,88,SimplexTableau.java,0,1,5
Math,89,Frequency.java,4,0,0
Math,90,Frequency.java,3,0,0
Math,91,Fraction.java,0,0,2
Math,92,MathUtils.java,43,0,6
Math,93,MathUtils.java,8,0,2
Math,94,MathUtils.java,0,0,1
Math,95,FDistributionImpl.java,2,0,1
Math,96,Complex.java,0,0,1
Math,97,BrentSolver.java,14,0,2
Math,98,BigMatrixImpl.java,0,0,1
Math,98,RealMatrixImpl.java,0,0,1
Math,99,MathUtils.java,8,0,0
Math,100,AbstractEstimator.java,0,0,3
Math,101,ComplexFormat.java,1,0,1
Math,102,ChiSquareTestImpl.java,17,0,0
Math,103,NormalDistributionImpl.java,10,0,0
Math,104,Gamma.java,0,0,1
Math,105,SimpleRegression.java,0,0,1
Math,106,ProperFractionFormat.java,8,0,0
Time,1,Partial.java,9,0,1
Time,1,field/UnsupportedDurationField.java,0,3,0
Time,2,Partial.java,3,0,1
Time,2,field/UnsupportedDurationField.java,3,0,0
Time,3,MutableDateTime.java,20,0,0
Time,4,Partial.java,0,0,1
Time,5,Period.java,6,0,6
Time,6,GJChronology.java,26,0,0
Time,7,DateTimeFormatter.java,0,0,1
Time,8,DateTimeZone.java,3,0,2
Time,9,DateTimeZone.java,6,0,3
Time,10,BaseSingleFieldPeriod.java,1,0,1
Time,11,ZoneInfoCompiler.java,1,0,4
Time,12,LocalDate.java,6,0,1
Time,12,LocalDateTime.java,6,0,1
Time,13,PeriodFormatterBuilder.java,4,0,1
Time,14,BasicMonthOfYearDateTimeField.java,5,0,0
Time,15,FieldUtils.java,3,0,0
Time,16,DateTimeFormatter.java,0,0,1
Time,17,DateTimeZone.java,13,0,5
Time,18,GJChronology.java,12,0,0
Time,19,DateTimeZone.java,0,0,1
Time,20,DateTimeFormatterBuilder.java,6,0,2
Time,21,DefaultNameProvider.java,10,0,6
Time,22,BasePeriod.java,5,0,1
Time,23,DateTimeZone.java,5,4,4
Time,24,DateTimeParserBucket.java,5,0,0
Time,25,DateTimeZone.java,9,0,0
Time,26,ZonedChronology.java,0,0,7
Time,27,PeriodFormatterBuilder.java,2,0,0
