Project,DefectId,RelevantTestCount,TriggeringTestCount
php,2011-10-30-c1a4a36c14-5921e73a37,7785,1
php,2011-10-31-2e5d5e5ac6-b5f15ef561,7787,1
php,2011-10-31-c4eb5f2387-2e5d5e5ac6,7786,1
php,2011-11-01-735efbdd04-e0f781f496,7752,1
php,2011-11-01-ceac9dc490-9b0d73af1d,7789,2
php,2011-11-01-d2881adcbc-4591498df7,7789,1
php,2011-11-02-c1d520d19d-9b86852d6e,7753,1
php,2011-11-02-de50e98a07-8d520d6296,7793,38
php,2011-11-04-9da01ac6b6-7334dfd7eb,7797,3
php,2011-11-05-7888715e73-ff48763f4b,7803,6
php,2011-11-08-0ac9b9b0ae-cacf363957,7805,1
php,2011-11-08-6a42b41c3d-5063a77128,7804,1
php,2011-11-08-c3e56a152c-3598185a74,7808,3
php,2011-11-11-fcbfbea8d2-c1e510aea8,7810,1
php,2011-11-15-236120d80e-fb37f3b20d,7815,1
php,2011-11-15-2568672691-13ba2da5f6,7814,4
php,2011-11-16-55acfdf7bd-3c7a573a2c,7816,1
php,2011-11-19-51a4ae6576-bc810a443d,7830,6
php,2011-11-19-eeba0b5681-d3b20b4058,7830,1
php,2011-11-19-eeba0b5681-f330c8ab4e,7830,1
php,2011-11-22-ecc6c335c5-b548293b99,7831,1
php,2011-11-23-eca88d3064-db0888dfc1,7832,1
php,2011-11-25-3b1ce022f1-c2ede9a00a,7841,1
php,2011-11-26-7c2946f80e-dc6ecd21ee,7842,1
php,2011-12-04-1e6a82a1cf-dfa08dc325,7854,1
php,2011-12-04-b3ad0b7af7-1d6c98a136,7855,1
php,2011-12-06-5087b0ee42-ac631dd580,7857,2
php,2011-12-10-74343ca506-52c36e60c4,7861,3
php,2011-12-17-db63456a8d-3dc9f0abe6,7866,5
php,2011-12-18-beda5efd41-622412d8e6,7876,10
php,2012-01-01-7c3177e5ab-e2a2ed348f,7884,1
php,2012-01-01-80dd931d40-7c3177e5ab,7883,1
php,2012-01-13-583292ab22-d74a258f24,7887,1
php,2012-01-16-36df53421e-f32760bd40,7888,1
php,2012-01-16-f32760bd40-032d140fd6,7889,1
php,2012-01-17-032d140fd6-877f97cde1,7890,1
php,2012-01-17-e76c1cc03c-ebddf8a975,7890,1
php,2012-01-27-544e36dfff-acaf9c5227,7879,1
php,2012-01-29-d8b312845c-dc27324dd9,7881,1
php,2012-01-30-9de5b6dc7c-4dc8b1ad11,7926,1
php,2012-02-08-ff63c09e6f-6672171672,7887,1
php,2012-02-12-3d898cfa3f-af92365239,7914,1
php,2012-02-18-0a91432828-032bbc3164,7934,20
php,2012-02-20-0cb26060af-eefefddc0e,7909,1
php,2012-02-25-38b549ea2f-1923ecfe25,7938,1
php,2012-02-25-c1322d2505-cfa9c90b20,7937,1
php,2012-03-02-730b54a374-1953161b8c,7940,1
php,2012-03-04-60dfd64bf2-34fe62619d,7935,1
php,2012-03-04-bda5ea7111-60dfd64bf2,7934,2
php,2012-03-06-6237456cae-5e80c05deb,7937,1
php,2012-03-08-0169020e49-cdc512afb3,7941,4
php,2012-03-08-d54e6ce832-23e65a9dcc,7942,1
php,2012-03-10-23e65a9dcc-e6ec1fb166,7943,1
php,2012-03-11-3954743813-d4f05fbffc,7943,1
php,2012-03-12-438a30f1e7-7337a901b7,7946,3
php,2012-03-12-7aefbf70a8-efc94f3115,7947,1
php,2012-03-19-53e3467ff2-9a460497da,7949,4
php,2012-03-22-3efc9f2f78-2e19cccad7,7951,4
python,69223-69224,285,1
python,69368-69372,293,1
python,69470-69474,297,1
python,69609-69616,296,1
python,69709-69710,301,1
python,69740-69743,302,1
python,69783-69784,303,1
python,69785-69789,304,1
python,69831-69833,305,1
python,69934-69935,313,1
python,69945-69946,314,1
python,70019-70023,316,1
python,70056-70059,319,1
python,70098-70101,320,1
python,70120-70124,320,1
valgrind,11613-11614,462,1
valgrind,11620-11619,462,3
valgrind,11621-11622,462,3
valgrind,11623-11624,463,1
valgrind,11625-11627,480,1
valgrind,11635-11636,483,3
valgrind,11636-11640,468,1
valgrind,11771-11770,506,1
valgrind,11817-11818,512,1
valgrind,11821-11822,493,2
valgrind,12410-12411,549,2
valgrind,12474-12473,539,1
valgrind,12474-12475,554,1
valgrind,12641-12642,540,1
valgrind,12854-12855,565,1
wireshark,35419-35414,59,52
wireshark,37112-37111,61,1
wireshark,37122-37123,61,1
wireshark,37171-37170,61,4
wireshark,37172-37171,57,2
wireshark,37172-37173,57,2
wireshark,37190-37191,61,4
wireshark,37284-37285,61,2
